id,name,code,provinsi_id/id
6172,SINGKAWANG,6172,61
6201,KOTAWARINGIN BARAT,6201,62
6202,KOTAWARINGIN TIMUR,6202,62
6203,KAPUAS,6203,62
6204,BARITO SELATAN,6204,62
6205,BARITO UTARA,6205,62
6206,SUKAMARA,6206,62
6207,LAMANDAU,6207,62
6208,SERUYAN,6208,62
6209,KATINGAN,6209,62
6210,PULANG PISAU,6210,62
6211,GUNUNG MAS,6211,62
6212,BARITO TIMUR,6212,62
6213,MURUNG RAYA,6213,62
6271,PALANGKA RAYA,6271,62
6301,TANAH LAUT,6301,63
6302,KOTA BARU,6302,63
6303,BANJAR,6303,63
6304,BARITO KUALA,6304,63
6305,TAPIN,6305,63
6306,HULU SUNGAI SELATAN,6306,63
6307,HULU SUNGAI TENGAH,6307,63
6308,HULU SUNGAI UTARA,6308,63
6309,TABALONG,6309,63
6310,TANAH BUMBU,6310,63
6311,BALANGAN,6311,63
6371,BANJARMASIN,6371,63
6372,BANJAR BARU,6372,63
6401,PASER,6401,64
6402,KUTAI BARAT,6402,64
6403,KUTAI KARTANEGARA,6403,64
6404,KUTAI TIMUR,6404,64
6405,BERAU,6405,64
6409,PENAJAM PASER UTARA,6409,64
6411,MAHAKAM HULU,6411,64
6471,BALIKPAPAN,6471,64
6472,SAMARINDA,6472,64
6474,BONTANG,6474,64
6501,MALINAU,6501,65
6502,BULUNGAN,6502,65
6503,TANA TIDUNG,6503,65
6504,NUNUKAN,6504,65
6571,TARAKAN,6571,65
7101,BOLAANG MONGONDOW,7101,71
7102,MINAHASA,7102,71
7103,KEPULAUAN SANGIHE,7103,71
7104,KEPULAUAN TALAUD,7104,71
7105,MINAHASA SELATAN,7105,71
7106,MINAHASA UTARA,7106,71
7107,BOLAANG MONGONDOW UTARA,7107,71
7108,SIAU TAGULANDANG BIARO,7108,71
7109,MINAHASA TENGGARA,7109,71
7110,BOLAANG MONGONDOW SELATAN,7110,71
7111,BOLAANG MONGONDOW TIMUR,7111,71
7171,MANADO,7171,71
7172,BITUNG,7172,71
7173,TOMOHON,7173,71
7174,KOTAMOBAGU,7174,71
7201,BANGGAI KEPULAUAN,7201,72
7202,BANGGAI,7202,72
7203,MOROWALI,7203,72
7204,POSO,7204,72
7205,DONGGALA,7205,72
7206,TOLI-TOLI,7206,72
7207,BUOL,7207,72
7208,PARIGI MOUTONG,7208,72
7209,TOJO UNA-UNA,7209,72
7210,SIGI,7210,72
7211,BANGGAI LAUT,7211,72
7212,MOROWALI UTARA,7212,72
7271,PALU,7271,72
7301,KEPULAUAN SELAYAR,7301,73
7302,BULUKUMBA,7302,73
7303,BANTAENG,7303,73
7304,JENEPONTO,7304,73
7305,TAKALAR,7305,73
7306,GOWA,7306,73
7307,SINJAI,7307,73
7308,MAROS,7308,73
7309,PANGKAJENE DAN KEPULAUAN,7309,73
7310,BARRU,7310,73
7311,BONE,7311,73
7312,SOPPENG,7312,73
7313,WAJO,7313,73
7314,SIDENRENG RAPPANG,7314,73
7315,PINRANG,7315,73
7316,ENREKANG,7316,73
7317,LUWU,7317,73
7318,TANA TORAJA,7318,73
7322,LUWU UTARA,7322,73
7325,LUWU TIMUR,7325,73
7326,TORAJA UTARA,7326,73
7371,MAKASSAR,7371,73
7372,PAREPARE,7372,73
7373,PALOPO,7373,73
7401,BUTON,7401,74
7402,MUNA,7402,74
7403,KONAWE,7403,74
7404,KOLAKA,7404,74
7405,KONAWE SELATAN,7405,74
7406,BOMBANA,7406,74
7407,WAKATOBI,7407,74
7408,KOLAKA UTARA,7408,74
7409,BUTON UTARA,7409,74
7410,KONAWE UTARA,7410,74
7411,KOLAKA TIMUR,7411,74
7412,KONAWE KEPULAUAN,7412,74
7413,MUNA BARAT,7413,74
7414,BUTON TENGAH,7414,74
7415,BUTON SELATAN,7415,74
7471,KENDARI,7471,74
7472,BAUBAU,7472,74
7501,BOALEMO,7501,75
7502,GORONTALO,7502,75
7503,POHUWATO,7503,75
7504,BONE BOLANGO,7504,75
7505,GORONTALO UTARA,7505,75
7571,GORONTALO,7571,75
7601,MAJENE,7601,76
7602,POLEWALI MANDAR,7602,76
7603,MAMASA,7603,76
7604,MAMUJU,7604,76
7605,MAMUJU UTARA,7605,76
7606,MAMUJU TENGAH,7606,76
8101,MALUKU TENGGARA BARAT,8101,81
8102,MALUKU TENGGARA,8102,81
8103,MALUKU TENGAH,8103,81
8104,BURU,8104,81
8105,KEPULAUAN ARU,8105,81
8106,SERAM BAGIAN BARAT,8106,81
8107,SERAM BAGIAN TIMUR,8107,81
8108,MALUKU BARAT DAYA,8108,81
8109,BURU SELATAN,8109,81
8171,AMBON,8171,81
8172,TUAL,8172,81
8201,HALMAHERA BARAT,8201,82
8202,HALMAHERA TENGAH,8202,82
8203,KEPULAUAN SULA,8203,82
8204,HALMAHERA SELATAN,8204,82
8205,HALMAHERA UTARA,8205,82
8206,HALMAHERA TIMUR,8206,82
8207,PULAU MOROTAI,8207,82
8208,PULAU TALIABU,8208,82
8271,TERNATE,8271,82
8272,TIDORE KEPULAUAN,8272,82
9101,FAKFAK,9101,91
9102,KAIMANA,9102,91
9103,TELUK WONDAMA,9103,91
9104,TELUK BINTUNI,9104,91
9105,MANOKWARI,9105,91
9106,SORONG SELATAN,9106,91
9107,SORONG,9107,91
9108,RAJA AMPAT,9108,91
9109,TAMBRAUW,9109,91
9110,MAYBRAT,9110,91
9111,MANOKWARI SELATAN,9111,91
9112,PEGUNUNGAN ARFAK,9112,91
9171,SORONG,9171,91
9401,MERAUKE,9401,94
9402,JAYAWIJAYA,9402,94
9403,JAYAPURA,9403,94
9404,NABIRE,9404,94
9408,KEPULAUAN YAPEN,9408,94
9409,BIAK NUMFOR,9409,94
9410,PANIAI,9410,94
9411,PUNCAK JAYA,9411,94
9412,MIMIKA,9412,94
9413,BOVEN DIGOEL,9413,94
9414,MAPPI,9414,94
9415,ASMAT,9415,94
9416,YAHUKIMO,9416,94
9417,PEGUNUNGAN BINTANG,9417,94
9418,TOLIKARA,9418,94
9419,SARMI,9419,94
9420,KEEROM,9420,94
9426,WAROPEN,9426,94
9427,SUPIORI,9427,94
9428,MAMBERAMO RAYA,9428,94
9429,NDUGA,9429,94
9430,LANNY JAYA,9430,94
9431,MAMBERAMO TENGAH,9431,94
9432,YALIMO,9432,94
9433,PUNCAK,9433,94
9434,DOGIYAI,9434,94
9435,INTAN JAYA,9435,94
9436,DEIYAI,9436,94
9471,JAYAPURA,9471,94
